Date,Positive_Count_cases
5/1/2021,2
5/2/2021,9
5/3/2021,2
5/4/2021,9
5/5/2021,7
5/6/2021,8
5/7/2021,3
5/8/2021,4
5/9/2021,7
5/10/2021,1
5/11/2021,2
5/12/2021,4
5/13/2021,8
5/14/2021,6
5/15/2021,3
5/16/2021,5
5/17/2021,4
5/18/2021,3
5/19/2021,4
5/20/2021,6
5/21/2021,13
5/22/2021,14
5/23/2021,33
5/24/2021,21
5/25/2021,34
5/26/2021,50
5/27/2021,39
5/28/2021,57
5/29/2021,85
5/30/2021,38
5/31/2021,81
6/1/2021,58
6/2/2021,82
6/3/2021,100
6/4/2021,64
6/5/2021,73
6/6/2021,66
6/7/2021,84
6/8/2021,61
6/9/2021,84
6/10/2021,70
6/11/2021,66
6/12/2021,44
6/13/2021,29
6/14/2021,58
6/15/2021,71
6/16/2021,55
6/17/2021,57
6/18/2021,32
6/19/2021,42
6/20/2021,20
6/21/2021,45
6/22/2021,53
6/23/2021,71
6/24/2021,40
6/25/2021,43
6/26/2021,22
6/27/2021,15
6/28/2021,19
6/29/2021,24
6/30/2021,21
7/1/2021,13
7/2/2021,15
7/3/2021,25
7/4/2021,15
7/5/2021,6
7/6/2021,22
7/7/2021,10
7/8/2021,13
7/9/2021,33
7/10/2021,23
7/11/2021,37
7/12/2021,60
7/13/2021,63
7/14/2021,55
7/15/2021,60
7/16/2021,52
7/17/2021,57
7/18/2021,47
7/19/2021,48
7/20/2021,25
7/21/2021,38
7/22/2021,47
7/23/2021,44
7/24/2021,37
7/25/2021,40
7/26/2021,56
7/27/2021,76
7/28/2021,96
7/29/2021,94
7/30/2021,128
7/31/2021,176
8/1/2021,141
8/2/2021,206
8/3/2021,242
8/4/2021,213
8/5/2021,242
8/6/2021,209
8/7/2021,248
8/8/2021,156
8/9/2021,251
8/10/2021,282
8/11/2021,230
8/12/2021,232
8/13/2021,256
8/14/2021,285
8/15/2021,128
8/16/2021,271
8/17/2021,264
8/18/2021,233
8/19/2021,225
8/20/2021,199
8/21/2021,183
8/22/2021,131
8/23/2021,208
8/24/2021,166
8/25/2021,200
8/26/2021,146
8/27/2021,119
8/28/2021,119
8/29/2021,64
8/30/2021,81
8/31/2021,119
9/1/2021,126
9/2/2021,109
9/3/2021,91
9/4/2021,71
9/5/2021,58
9/6/2021,116
9/7/2021,127
9/8/2021,99
9/9/2021,96
9/10/2021,86
9/11/2021,90
9/12/2021,53
9/13/2021,81
9/14/2021,94
9/15/2021,84
9/16/2021,57
9/17/2021,59
9/18/2021,36
9/19/2021,22
9/20/2021,51
9/21/2021,64
9/22/2021,56
9/23/2021,62
9/24/2021,51
9/25/2021,74
9/26/2021,47
9/27/2021,89
9/28/2021,76
9/29/2021,74
9/30/2021,79
10/1/2021,87
10/2/2021,75
10/3/2021,29
10/4/2021,71
10/5/2021,52
10/6/2021,81
10/7/2021,60
10/8/2021,69
10/9/2021,80
10/10/2021,61
10/11/2021,72
10/12/2021,103
10/13/2021,92
10/14/2021,110
10/15/2021,94
10/16/2021,71
10/17/2021,75
10/18/2021,95
10/19/2021,89
10/20/2021,62
10/21/2021,91
10/22/2021,142
10/23/2021,117
10/24/2021,61
10/25/2021,180
10/26/2021,189
10/27/2021,236
10/28/2021,170
10/29/2021,175
10/30/2021,115
10/31/2021,73
11/1/2021,183
11/2/2021,188
11/3/2021,138
11/4/2021,161
11/5/2021,143
11/6/2021,140
11/7/2021,83
11/8/2021,147
11/9/2021,108
11/10/2021,82
11/11/2021,112
11/12/2021,79
11/13/2021,56
11/14/2021,41
11/15/2021,96
11/16/2021,103
11/17/2021,54
11/18/2021,68
11/19/2021,58
11/20/2021,47
11/21/2021,32
11/22/2021,53
11/23/2021,79
11/24/2021,61
11/25/2021,26
11/26/2021,58
11/27/2021,54
11/28/2021,33
11/29/2021,43
11/30/2021,54
12/1/2021,29
12/2/2021,31
12/3/2021,27
12/4/2021,20
12/5/2021,12
12/6/2021,19
12/7/2021,28
12/8/2021,31
12/9/2021,21
12/10/2021,21
12/11/2021,26
12/12/2021,30
12/13/2021,17
12/14/2021,21
12/15/2021,22
12/16/2021,24
12/17/2021,22
12/18/2021,17
12/19/2021,13
12/20/2021,35
12/21/2021,34
12/22/2021,39
12/23/2021,39
12/24/2021,31
12/25/2021,14
12/26/2021,37
12/27/2021,39
12/28/2021,23
12/29/2021,37
12/30/2021,20
12/31/2021,22
1/1/2022,9
1/2/2022,12
1/3/2022,11
1/4/2022,27
1/5/2022,11
1/6/2022,14
1/7/2022,11
1/8/2022,15
1/9/2022,18
1/10/2022,23
1/11/2022,17
1/12/2022,7
1/13/2022,15
1/14/2022,12
1/15/2022,14
1/16/2022,7
1/17/2022,1
1/18/2022,0
1/19/2022,10
1/20/2022,12
1/21/2022,24
1/22/2022,13
1/23/2022,17
1/24/2022,9
1/25/2022,10
1/26/2022,9
1/27/2022,16
1/28/2022,3
1/29/2022,12
1/30/2022,4
1/31/2022,16
2/1/2022,11
2/2/2022,8
2/3/2022,10
2/4/2022,7
2/5/2022,14
2/6/2022,7
2/7/2022,15
2/8/2022,16
2/9/2022,19
2/10/2022,9
2/11/2022,5
2/12/2022,16
2/13/2022,13
2/14/2022,13
2/15/2022,21
2/16/2022,13
2/17/2022,10
2/18/2022,12
2/19/2022,14
2/20/2022,6
2/21/2022,14
2/22/2022,3
2/23/2022,10
2/24/2022,9
2/25/2022,10
2/26/2022,7
2/27/2022,6
2/28/2022,4
3/1/2022,6
3/2/2022,5
3/3/2022,8
3/4/2022,5
3/5/2022,3
3/6/2022,6
3/7/2022,3
3/8/2022,7
3/9/2022,12
3/10/2022,5
3/11/2022,6
3/12/2022,6
3/13/2022,6
3/14/2022,3
3/15/2022,3
3/16/2022,4
3/17/2022,4
3/18/2022,3
3/19/2022,2
3/20/2022,2
3/21/2022,6
3/22/2022,8
3/23/2022,2
3/24/2022,5
3/25/2022,4
3/26/2022,4
3/27/2022,5
3/28/2022,7
3/29/2022,5
3/30/2022,3
3/31/2022,1
4/1/2022,1
4/2/2022,3
4/3/2022,2
4/4/2022,0
4/5/2022,1
4/6/2022,1
4/7/2022,0
4/8/2022,2
4/9/2022,1
4/10/2022,3
4/11/2022,0
4/12/2022,2
4/13/2022,0
4/14/2022,2
4/15/2022,0
4/16/2022,1
4/17/2022,0
4/18/2022,0
4/19/2022,9
4/20/2022,4
4/21/2022,3
4/23/2022,3
4/24/2022,1
4/25/2022,3
4/26/2022,6
4/27/2022,1
4/28/2022,3
4/29/2022,1
4/30/2022,3
5/1/2022,0
5/2/2022,1
5/3/2022,3
5/4/2022,0
5/5/2022,0
5/6/2022,7
5/7/2022,1
5/8/2022,4
5/9/2022,10
5/10/2022,9
5/11/2022,9
5/12/2022,15
5/13/2022,27
5/14/2022,38
5/15/2022,27
5/16/2022,83
5/17/2022,96
5/18/2022,84
5/19/2022,156
5/20/2022,189
5/21/2022,170
5/22/2022,163
5/23/2022,260
5/24/2022,202
5/25/2022,211
5/26/2022,212
5/27/2022,184
5/28/2022,171
5/29/2022,70
5/30/2022,169
5/31/2022,165
6/1/2022,59
6/2/2022,113
6/3/2022,96
6/4/2022,90
6/5/2022,41
6/6/2022,49
6/7/2022,56
6/8/2022,49
6/9/2022,42
6/10/2022,77
6/11/2022,60
6/12/2022,59
6/13/2022,138
6/14/2022,55
6/15/2022,50
6/16/2022,57
6/17/2022,50
6/18/2022,64
6/19/2022,99
6/20/2022,158
6/21/2022,144
6/22/2022,127
6/23/2022,181
6/24/2022,172
6/25/2022,269
6/26/2022,244
6/27/2022,342
6/28/2022,449
6/29/2022,401
6/30/2022,416
7/1/2022,438
7/2/2022,386
7/3/2022,241
7/4/2022,353
7/5/2022,363
7/6/2022,270
7/7/2022,273
7/8/2022,232
7/9/2022,212
7/10/2022,147
7/11/2022,181
7/12/2022,286
7/13/2022,280
7/14/2022,266
7/15/2022,232
7/16/2022,214
7/17/2022,135
7/18/2022,264
7/19/2022,235
7/20/2022,202
7/21/2022,223
7/22/2022,239
7/23/2022,208
7/24/2022,129
7/25/2022,218
7/26/2022,234
7/27/2022,277
7/28/2022,284
7/29/2022,355
7/30/2022,328
7/31/2022,279
8/1/2022,408
8/2/2022,296
8/3/2022,330
8/4/2022,334
8/5/2022,386
8/6/2022,331
8/7/2022,220
8/8/2022,387
8/9/2022,145
8/10/2022,259
8/11/2022,255
8/12/2022,251
8/13/2022,184
8/14/2022,148
8/15/2022,241
8/16/2022,251
8/17/2022,247
8/18/2022,285
8/19/2022,373
8/20/2022,367
8/21/2022,335
8/22/2022,558
8/23/2022,591
8/24/2022,575
8/25/2022,608
8/26/2022,483
8/27/2022,506
8/28/2022,320
8/29/2022,591
8/30/2022,584
8/31/2022,643
9/1/2022,581
9/2/2022,532
9/3/2022,425
9/4/2022,321
9/5/2022,517
9/6/2022,536
9/7/2022,407
9/8/2022,553
9/9/2022,512
9/10/2022,462
9/11/2022,283
9/12/2022,379
9/13/2022,261
9/14/2022,462
9/15/2022,400
9/16/2022,421
9/17/2022,364
9/18/2022,244
9/19/2022,290
9/20/2022,443
9/21/2022,479
9/22/2022,490
9/23/2022,509
9/24/2022,470
9/25/2022,310
9/26/2022,568
9/27/2022,602
9/28/2022,559
9/29/2022,551
9/30/2022,443
10/1/2022,427
10/2/2022,250
10/3/2022,433
10/4/2022,407
10/5/2022,403
10/6/2022,338
10/7/2022,356
10/8/2022,233
10/9/2022,219
10/10/2022,200
10/11/2022,342
10/12/2022,307
10/13/2022,291
10/14/2022,250
10/15/2022,177
10/16/2022,107
10/17/2022,208
10/18/2022,188
10/19/2022,138
10/20/2022,106
10/21/2022,130
10/22/2022,105
10/23/2022,72
10/24/2022,130
10/25/2022,153
10/26/2022,104
10/27/2022,91
10/28/2022,90
10/29/2022,99
10/30/2022,45
10/31/2022,87
11/1/2022,81
11/2/2022,84
11/3/2022,78
11/4/2022,53
11/5/2022,49
11/6/2022,41
11/7/2022,66
11/8/2022,50
11/9/2022,67
11/10/2022,50
11/11/2022,31
11/12/2022,33
11/13/2022,28
11/14/2022,51
11/15/2022,41
11/16/2022,28
11/17/2022,44
11/18/2022,31
11/19/2022,28
11/20/2022,15
11/21/2022,43
11/22/2022,32
11/23/2022,24
11/24/2022,27
11/25/2022,21
11/26/2022,19
11/27/2022,15
11/28/2022,24
11/29/2022,27
11/30/2022,23
12/1/2022,15
12/2/2022,32
12/3/2022,33
12/4/2022,28
12/5/2022,56
12/6/2022,53
12/7/2022,59
12/8/2022,76
12/9/2022,83
12/10/2022,73
12/11/2022,80
12/12/2022,78
12/13/2022,124
12/14/2022,113
12/15/2022,79
12/16/2022,83
12/17/2022,80
12/18/2022,44
12/19/2022,69
12/20/2022,58
12/21/2022,41
12/22/2022,47
12/23/2022,29
12/24/2022,47
12/25/2022,26
12/26/2022,41
12/27/2022,30
12/28/2022,54
12/29/2022,55
12/30/2022,61
12/31/2022,93
1/1/2023,49
1/2/2023,64
1/3/2023,79
1/4/2023,94
1/5/2023,99
1/6/2023,96
1/7/2023,79
1/8/2023,55
1/9/2023,102
1/10/2023,102
1/11/2023,86
1/12/2023,73
1/13/2023,125
1/14/2023,115
1/15/2023,95
1/16/2023,152
1/17/2023,151
1/18/2023,138
1/19/2023,152
1/20/2023,146
1/21/2023,144
1/22/2023,101
1/23/2023,171
1/24/2023,148
1/25/2023,154
1/26/2023,69
1/27/2023,104
1/28/2023,91
1/29/2023,52
1/30/2023,65
1/31/2023,71
2/1/2023,37
2/2/2023,50
2/3/2023,38
2/4/2023,28
2/5/2023,33
2/6/2023,34
2/7/2023,34
2/8/2023,34
2/9/2023,45
2/10/2023,59
2/11/2023,21
2/12/2023,16
2/13/2023,26
2/14/2023,27
2/15/2023,23
2/16/2023,18
2/17/2023,25
2/18/2023,21
2/19/2023,7
2/20/2023,13
2/21/2023,12
2/22/2023,16
2/23/2023,15
2/24/2023,16
2/25/2023,15
2/26/2023,8
2/27/2023,10
2/28/2023,20
3/1/2023,19
3/2/2023,8
3/3/2023,3
3/4/2023,7
3/5/2023,7
3/6/2023,6
3/7/2023,11
3/8/2023,6
3/9/2023,1
3/10/2023,13
3/11/2023,9
3/12/2023,11
3/13/2023,9
