Date,temperature_2m_mean (°C),rain_sum (mm),wind_speed_10m_max (km/h),apparent_temperature_mean (°C),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),wind_gusts_10m_max (km/h),winddirection_10m_dominant (°),cloud_cover_mean (%),cloud_cover_max (%),cloud_cover_min (%),dew_point_2m_mean (°C),dew_point_2m_max (°C),dew_point_2m_min (°C),et0_fao_evapotranspiration_sum (mm),snowfall_water_equivalent_sum (mm),pressure_msl_mean (hPa),pressure_msl_max (hPa),pressure_msl_min (hPa),wind_gusts_10m_min (km/h),wind_speed_10m_min (km/h),wet_bulb_temperature_2m_mean (°C),wet_bulb_temperature_2m_min (°C),wet_bulb_temperature_2m_max (°C),vapour_pressure_deficit_max (kPa),soil_moisture_28_to_100cm_mean (m³/m³),soil_moisture_0_to_100cm_mean (m³/m³),soil_moisture_0_to_7cm_mean (m³/m³),soil_moisture_7_to_28cm_mean (m³/m³),soil_temperature_0_to_100cm_mean (°C),soil_temperature_0_to_7cm_mean (°C),soil_temperature_28_to_100cm_mean (°C),soil_temperature_7_to_28cm_mean (°C),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm),shortwave_radiation_sum (MJ/m²),apparent_temperature_min (°C),apparent_temperature_max (°C),temperature_2m_min (°C),temperature_2m_max (°C),weather_code (wmo code),sunrise (iso8601),sunset (iso8601),daylight_duration (s),sunshine_duration (s),precipitation_sum (mm),precipitation_hours (h),snowfall_sum (cm)
5/1/2021,28.7,0.2,18,30.5,56,87,33,943.1,946,941,19.6,10,37.1,139,38,94,5,18,20.9,15.2,6.04,0,1008.9,1012.1,1005.5,3.6,2.6,21.7,20.3,22.7,3.63,0,0.018,0.027,0.077,33,34.3,33,32.5,139,6.04,23.29,25.2,35.4,22.7,34.2,51,2021-05-01T06:30,2021-05-01T18:45,44097.46,40347.95,0.2,2,0
5/2/2021,28.8,1.8,28.3,30.3,51,71,30,942.8,945.5,939.9,20.8,8.7,44.3,238,59,97,19,16.9,19.8,14.2,5.64,0,1008.5,1011.9,1004.2,7.9,0,21,18.9,23.1,3.9,0,0.018,0.03,0.077,33.3,35,33,33.6,238,5.64,21.07,24.3,36.7,22.9,35.1,53,2021-05-02T06:30,2021-05-02T18:45,44108.07,40052.62,1.8,5,0
5/3/2021,26.4,10.8,16.5,29.2,67,83,41,943.9,946.6,941.6,19.9,7.8,28.1,74,79,100,18,19.6,21.7,17.4,4.75,0,1010.2,1013.5,1006.6,11.9,1.3,21.7,20,23.3,2.87,0.001,0.02,0.062,0.074,33.2,32.6,33.1,33.6,74,4.75,20.2,24.9,34.6,22.5,32.4,61,2021-05-03T06:29,2021-05-03T18:45,44118.54,36528.7,10.8,12,0
5/4/2021,28.3,0.7,22.6,30.2,60,86,32,942.9,945.9,939.8,25.5,12.5,40.3,122,62,94,21,19.1,21.6,15.4,5.77,0,1008.9,1012,1004.1,11.9,5.1,22.1,21.2,23.9,3.79,0,0.016,0.033,0.064,33.3,34.4,33.1,33.5,122,5.77,21.45,26.3,35.6,23.4,34.8,51,2021-05-04T06:29,2021-05-04T18:45,44128.87,40054.13,0.7,5,0
5/5/2021,28.8,2.7,16.4,30.8,57,84,36,943.4,946.3,940.5,21.4,9.8,31.7,117,53,90,9,18.6,21.4,16,5.69,0,1009.2,1012.5,1005.1,5.8,2.9,22,20.8,23.6,3.34,0,0.015,0.038,0.06,33.3,34,33.1,33.7,117,5.69,21.16,27.5,35.6,24.2,33.6,55,2021-05-05T06:29,2021-05-05T18:45,44139.04,40251.84,2.7,10,0
5/6/2021,27.3,7.9,17.2,29.9,64,83,43,944.5,946.9,941.9,20.9,8.8,37.1,147,71,100,27,19.7,22.3,18.2,4.9,0,1010.8,1013,1007.3,4.3,1.8,22.1,20.8,23.3,2.8,0.002,0.016,0.041,0.058,33.2,33.3,33.1,33.5,147,4.9,20.57,26.4,35.5,24.5,32.5,63,2021-05-06T06:29,2021-05-06T18:45,44149.05,39600,7.9,10,0
5/7/2021,26,10.1,14.5,29.3,72,94,46,945.8,948.2,943.6,16.9,6,31.7,148,96,100,91,20.1,21.6,17.8,4.29,0,1012.5,1014.8,1009.6,5.8,0.8,22,21,22.8,2.44,0.008,0.022,0.054,0.061,32.9,31.8,33.1,32.6,148,4.29,19.72,25.1,34.9,21.9,31.3,63,2021-05-07T06:29,2021-05-07T18:45,44158.87,39600,10.1,6,0
5/8/2021,22.9,50.2,11.6,26.2,87,94,78,946.3,948.5,944.5,13.6,5.6,18.7,34,99,100,94,20.6,21.4,19.9,1.75,0,1013.7,1016.1,1011.5,6.1,0.7,21.2,20.4,21.9,0.68,0.008,0.06,0.286,0.164,31.7,26,33,29.3,34,1.75,8.24,24.6,27.9,21.8,24.6,65,2021-05-08T06:29,2021-05-08T18:45,44168.51,740.97,50.2,17,0
5/9/2021,23.9,0.5,9.7,27.2,80,93,60,946.1,948.5,944.1,10.3,4.7,18.4,121,98,100,88,20,21.2,17.9,3.04,0,1013.2,1015.8,1010.4,2.5,0.7,21.2,20.3,22.1,1.45,0.01,0.073,0.248,0.233,31,26.4,32.5,27.2,121,3.04,14.35,25.6,31.3,22.1,27.4,51,2021-05-09T06:28,2021-05-09T18:45,44178.05,14954.67,0.5,3,0
5/10/2021,23.5,8.9,13.3,27,83,92,56,946.9,949.3,944.8,12.2,4.2,21.6,290,89,100,54,20.4,21.4,18.9,2.65,0,1014.1,1016.9,1010.9,4.3,1.5,21.3,20,22.3,1.69,0.013,0.074,0.246,0.228,30.7,26.5,32,27.7,290,2.65,12.55,24.8,31.6,21.4,28.4,61,2021-05-10T06:28,2021-05-10T18:45,44187.49,19340.61,8.9,16,0
